filename, start label, end label, num float ops, num branches, num operands, num memory ops, num unique predicates, trip count, num uses, num blocks in lp, loop depth, function name, unroll factor
LLVM-IR-DATA/gesummv.ll, %32, %86, 0,3,82,30,1,32,51,3,2, kernel_gesummv, 20
LLVM-IR-DATA/gramschmidt.ll, %103, %136, 0,3,53,17,1,32,31,3,3, kernel_gramschmidt, 40
LLVM-IR-DATA/gramschmidt.ll, %137, %178, 1,3,64,20,1,32,38,3,3, kernel_gramschmidt, 25
LLVM-IR-DATA/heat-3d.ll, %20, %60, 2,3,65,19,1,32,38,3,3, init_array, 24
LLVM-IR-DATA/heat-3d.ll, %29, %174, 5,3,235,59,1,32,142,3,4, kernel_heat_3d, 2
LLVM-IR-DATA/heat-3d.ll, %23, %178, 5,7,254,64,0,32,148,7,3, kernel_heat_3d, 2
LLVM-IR-DATA/heat-3d.ll, %17, %182, 5,11,273,69,0,32,154,11,2, kernel_heat_3d, 2
LLVM-IR-DATA/heat-3d.ll, %195, %340, 5,3,235,59,1,32,142,3,4, kernel_heat_3d, 2
LLVM-IR-DATA/heat-3d.ll, %189, %344, 5,7,254,64,0,32,148,7,3, kernel_heat_3d, 2
LLVM-IR-DATA/heat-3d.ll, %183, %348, 5,11,273,69,0,32,154,11,2, kernel_heat_3d, 2
LLVM-IR-DATA/jacobi-1d.ll, %8, %36, 4,3,44,14,1,32,25,3,1, init_array, 10
LLVM-IR-DATA/jacobi-1d.ll, %16, %49, 3,3,51,16,1,32,30,3,2, kernel_jacobi_1d, 27
LLVM-IR-DATA/jacobi-1d.ll, %50, %83, 3,3,51,16,1,32,30,3,2, kernel_jacobi_1d, 27
LLVM-IR-DATA/jacobi-2d.ll, %14, %54, 2,3,66,18,1,32,37,3,2, init_array, 13
LLVM-IR-DATA/jacobi-2d.ll, %23, %88, 5,3,101,28,1,32,62,3,3, kernel_jacobi_2d, 11
LLVM-IR-DATA/jacobi-2d.ll, %99, %164, 5,3,101,28,1,32,62,3,3, kernel_jacobi_2d, 11
LLVM-IR-DATA/lu.ll, %106, %139, 0,3,54,17,1,32,31,3,3, init_array, 25
LLVM-IR-DATA/lu.ll, %153, %176, 0,3,38,12,1,32,20,3,2, init_array, 50
LLVM-IR-DATA/ludcmp.ll, %143, %176, 0,3,54,17,1,32,31,3,3, init_array, 25
LLVM-IR-DATA/ludcmp.ll, %190, %213, 0,3,38,12,1,32,20,3,2, init_array, 50
LLVM-IR-DATA/mvt.ll, %67, %91, 1,3,38,12,1,32,21,3,2, init_array, 20
LLVM-IR-DATA/mvt.ll, %20, %51, 0,3,48,17,1,32,28,3,2, kernel_mvt, 40
LLVM-IR-DATA/mvt.ll, %61, %92, 0,3,48,17,1,32,28,3,2, kernel_mvt, 40
LLVM-IR-DATA/seidel-2d.ll, %12, %36, 1,3,40,11,1,32,21,3,2, init_array, 25
LLVM-IR-DATA/seidel-2d.ll, %22, %131, 9,3,169,44,1,32,106,3,3, kernel_seidel_2d, 9
LLVM-IR-DATA/symm.ll, %24, %64, 2,3,63,19,1,32,37,3,2, init_array, 10
LLVM-IR-DATA/symm.ll, %24, %125, 3,7,165,54,0,32,95,7,2, kernel_symm, 30
LLVM-IR-DATA/syr2k.ll, %24, %66, 2,3,66,20,1,32,39,3,2, init_array, 10
LLVM-IR-DATA/syr2k.ll, %76, %101, 1,3,40,12,1,32,22,3,2, init_array, 20
LLVM-IR-DATA/syr2k.ll, %42, %106, 4,7,102,32,2,32,58,7,2, kernel_syr2k, 10
LLVM-IR-DATA/syrk.ll, %22, %47, 1,3,40,12,1,32,22,3,2, init_array, 20
LLVM-IR-DATA/syrk.ll, %57, %82, 1,3,40,12,1,32,22,3,2, init_array, 20
LLVM-IR-DATA/syrk.ll, %40, %84, 1,7,73,23,2,32,38,7,2, kernel_syrk, 20
LLVM-IR-DATA/trisolv.ll, %11, %56, 2,7,75,24,2,32,38,7,1, init_array, 5
LLVM-IR-DATA/trisolv.ll, %11, %75, 2,7,100,36,0,32,58,7,1, kernel_trisolv, 5
LLVM-IR-DATA/trmm.ll, %51, %77, 1,3,41,13,1,32,23,3,2, init_array, 20
LLVM-IR-DATA/trmm.ll, %19, %80, 1,7,99,32,0,32,55,7,2, kernel_trmm, 16
LLVM-IR-DATA/floyd-warshall.ll, %12, %58, 0,7,80,20,1,32,39,7,2, init_array, 10
LLVM-IR-DATA/floyd-warshall.ll, %18, %88, 0,6,105,32,0,32,64,6,3, kernel_floyd_warshall, 28
LLVM-IR-DATA/bitcnts.ll, %27, %65, 0,9,73,21,1,32,28,9,1, main1, 7
LLVM-IR-DATA/susan.ll, %117, %155, 0,5,69,18,2,32,33,5,2, median, 7
LLVM-IR-DATA/susan.ll, %113, %159, 0,9,85,22,1,32,37,9,1, median, 7
LLVM-IR-DATA/susan.ll, %539, %580, 0,9,74,23,1,32,32,9,3, susan_thin, 3
LLVM-IR-DATA/susan.ll, %543, %576, 0,5,58,19,2,32,28,5,4, susan_thin, 3
LLVM-IR-DATA/blocksort.ll, %162, %204, 0,3,73,17,1,32,41,3,1, fallbackSort, 32
LLVM-IR-DATA/blocksort.ll, %432, %517, 0,12,144,42,2,32,73,12,1, mainSort, 5
LLVM-IR-DATA/blocksort.ll, %409, %423, 0,3,28,8,1,32,11,3,1, mainSort, 256
LLVM-IR-DATA/blocksort.ll, %188, %212, 0,3,39,14,1,32,21,3,1, mainSort, 34
LLVM-IR-DATA/compress.ll, %3252, %3274, 0,6,45,9,2,32,16,6,2, sendMTFValues, 16
LLVM-IR-DATA/compress.ll, %3037, %3050, 0,3,23,7,1,32,10,3,1, sendMTFValues, 7
LLVM-IR-DATA/compress.ll, %2111, %2136, 0,3,42,11,1,32,23,3,4, sendMTFValues, 7
LLVM-IR-DATA/compress.ll, %271, %296, 0,7,47,13,0,32,18,7,2, sendMTFValues, 7
LLVM-IR-DATA/compress.ll, %2142, %2165, 0,5,40,12,0,32,18,5,3, sendMTFValues, 7
LLVM-IR-DATA/compress.ll, %3224, %3241, 0,6,36,7,2,32,11,6,1, sendMTFValues, 16
LLVM-IR-DATA/compress.ll, %3194, %3216, 0,5,41,9,2,32,17,5,2, sendMTFValues, 16
LLVM-IR-DATA/compress.ll, %65, %89, 0,7,46,12,0,32,17,7,1, sendMTFValues, 6
LLVM-IR-DATA/huffman.ll, %88, %107, 0,3,31,10,1,32,17,3,1, BZ2_hbCreateDecodeTables, 22
LLVM-IR-DATA/bzip2.ll, %6, %25, 1,3,37,11,1,32,16,3,1, uInt64_to_double, 8
LLVM-IR-DATA/bzip2.ll, %6, %33, 0,3,51,14,1,32,24,3,1, uInt64_qrm10, 8
LLVM-IR-DATA/decompress.ll, %2999, %3033, 0,7,66,18,0,32,27,7,1, BZ2_decompress, 16
LLVM-IR-DATA/decompress.ll, %3912, %3939, 0,3,51,14,1,32,24,3,2, BZ2_decompress, 16
LLVM-IR-DATA/decompress.ll, %3003, %3022, 0,3,36,10,1,32,16,3,2, BZ2_decompress, 16
LLVM-IR-DATA/jquant1.ll, %25, %66, 0,6,69,16,0,32,35,6,2, make_odither_array, 16
LLVM-IR-DATA/jdmarker.ll, %29, %43, 0,3,28,7,1,32,11,3,1, jinit_marker_reader, 16
LLVM-IR-DATA/jdmarker.ll, %286, %389, 0,5,193,53,1,32,98,5,2, get_dqt, 8
LLVM-IR-DATA/jchuff.ll, %31, %59, 0,7,53,14,0,32,22,7,1, jpeg_make_c_derived_tbl, 16
LLVM-IR-DATA/jchuff.ll, %280, %312, 0,9,60,16,1,32,23,9,1, jpeg_gen_optimal_table, 32
LLVM-IR-DATA/jchuff.ll, %204, %259, 0,9,99,23,1,32,50,9,1, jpeg_gen_optimal_table, 16
LLVM-IR-DATA/jchuff.ll, %18, %45, 0,3,57,15,1,32,24,3,1, jinit_huff_encoder, 4
LLVM-IR-DATA/jdsample.ll, %29, %160, 0,10,258,84,3,32,134,10,2, h2v2_fancy_upsample, 2
LLVM-IR-DATA/jquant2.ll, %51, %71, 0,3,38,11,1,32,17,3,1, jinit_2pass_quantizer, 32
LLVM-IR-DATA/jquant2.ll, %139, %151, 0,3,22,6,1,32,9,3,1, start_pass_2_quant, 32
LLVM-IR-DATA/jquant2.ll, %44, %70, 0,3,47,14,2,32,23,3,1, init_error_limit, 32
LLVM-IR-DATA/jquant2.ll, %22, %43, 0,3,38,13,1,32,18,3,1, init_error_limit, 16
LLVM-IR-DATA/jquant2.ll, %67, %105, 0,7,69,21,0,32,33,7,2, fill_inverse_cmap, 8
LLVM-IR-DATA/jquant2.ll, %63, %109, 0,11,85,25,0,32,37,11,1, fill_inverse_cmap, 4
LLVM-IR-DATA/jquant2.ll, %86, %101, 0,3,30,9,1,32,14,3,3, fill_inverse_cmap, 4
LLVM-IR-DATA/jquant2.ll, %127, %169, 0,9,85,34,1,32,33,9,3, find_best_colors, 8
LLVM-IR-DATA/jquant2.ll, %133, %160, 0,5,52,21,2,32,22,5,4, find_best_colors, 4
LLVM-IR-DATA/jquant2.ll, %121, %178, 0,13,118,47,1,32,44,13,2, find_best_colors, 4
LLVM-IR-DATA/jquant2.ll, %33, %42, 0,3,20,6,1,32,7,3,1, find_best_colors, 128
LLVM-IR-DATA/jfdctfst.ll, %192, %357, 0,3,297,118,1,32,162,3,1, jpeg_fdct_ifast, 8
LLVM-IR-DATA/jfdctfst.ll, %25, %190, 0,3,297,118,1,32,162,3,1, jpeg_fdct_ifast, 8
LLVM-IR-DATA/jcmarker.ll, %30, %59, 0,7,57,13,1,32,22,7,1, write_tables_only, 4
LLVM-IR-DATA/jcmarker.ll, %5, %24, 0,5,34,8,2,32,13,5,1, write_tables_only, 4
LLVM-IR-DATA/jcmarker.ll, %69, %96, 0,5,52,13,2,32,22,5,1, emit_dqt, 64
LLVM-IR-DATA/jcmarker.ll, %35, %52, 0,5,32,7,2,32,12,5,1, emit_dqt, 64
LLVM-IR-DATA/jcmarker.ll, %79, %94, 0,3,28,7,1,32,12,3,1, emit_dht, 16
LLVM-IR-DATA/jcmarker.ll, %55, %71, 0,3,29,8,1,32,13,3,1, emit_dht, 16
LLVM-IR-DATA/jdhuff.ll, %189, %215, 0,3,51,15,1,32,23,3,3, jpeg_make_d_derived_tbl, 128
LLVM-IR-DATA/jdhuff.ll, %164, %225, 0,11,117,33,1,32,50,11,1, jpeg_make_d_derived_tbl, 8
LLVM-IR-DATA/jdhuff.ll, %99, %157, 0,6,107,28,2,32,52,6,1, jpeg_make_d_derived_tbl, 16
LLVM-IR-DATA/jdhuff.ll, %35, %63, 0,7,53,14,0,32,22,7,1, jpeg_make_d_derived_tbl, 16
LLVM-IR-DATA/jdhuff.ll, %21, %38, 0,3,35,9,1,32,14,3,1, jinit_huff_decoder, 4
LLVM-IR-DATA/jcapimin.ll, %28, %59, 0,7,63,17,1,32,26,7,1, jpeg_suppress_tables, 4
LLVM-IR-DATA/jcapimin.ll, %8, %27, 0,5,38,10,2,32,15,5,1, jpeg_suppress_tables, 4
LLVM-IR-DATA/jfdctint.ll, %224, %425, 0,3,366,133,1,32,198,3,1, jpeg_fdct_islow, 8
LLVM-IR-DATA/jfdctint.ll, %23, %222, 0,3,362,133,1,32,196,3,1, jpeg_fdct_islow, 8
LLVM-IR-DATA/jcdctmgr.ll, %145, %172, 0,3,45,11,1,32,24,3,2, start_pass_fdctmgr, 64
LLVM-IR-DATA/jcdctmgr.ll, %201, %242, 5,7,73,19,0,32,34,7,2, start_pass_fdctmgr, 8
LLVM-IR-DATA/jcdctmgr.ll, %205, %238, 5,3,57,15,1,32,30,3,3, start_pass_fdctmgr, 8
LLVM-IR-DATA/jcdctmgr.ll, %97, %116, 0,3,33,9,1,32,16,3,2, start_pass_fdctmgr, 64
LLVM-IR-DATA/jcdctmgr.ll, %51, %122, 0,3,153,56,1,32,84,3,2, forward_DCT, 8
LLVM-IR-DATA/jcdctmgr.ll, %137, %163, 3,3,43,13,1,32,23,3,2, forward_DCT_float, 64
LLVM-IR-DATA/jcdctmgr.ll, %50, %129, 0,3,161,56,1,32,92,3,2, forward_DCT_float, 8
LLVM-IR-DATA/jccoefct.ll, %85, %101, 0,3,29,8,1,32,13,3,1, jinit_c_coef_controller, 10
LLVM-IR-DATA/jctrans.ll, %235, %275, 0,5,77,20,2,32,35,5,2, jpeg_copy_critical_parameters, 64
LLVM-IR-DATA/jctrans.ll, %72, %116, 0,7,90,22,3,32,37,7,1, jpeg_copy_critical_parameters, 4
LLVM-IR-DATA/jctrans.ll, %35, %51, 0,3,29,8,1,32,13,3,1, transencode_coef_controller, 10
LLVM-IR-DATA/jddctmgr.ll, %113, %131, 0,3,31,9,1,32,15,3,2, start_pass, 64
LLVM-IR-DATA/jddctmgr.ll, %168, %207, 3,7,69,19,0,32,32,7,2, start_pass, 8
LLVM-IR-DATA/jddctmgr.ll, %136, %163, 0,3,45,11,1,32,24,3,2, start_pass, 64
LLVM-IR-DATA/jddctmgr.ll, %172, %203, 3,3,53,15,1,32,28,3,3, start_pass, 8
LLVM-IR-DATA/jidctint.ll, %42, %357, 0,5,567,210,2,32,310,5,1, jpeg_idct_islow, 8
LLVM-IR-DATA/jidctint.ll, %359, %674, 0,5,558,205,2,32,310,5,1, jpeg_idct_islow, 8
LLVM-IR-DATA/jidctred.ll, %239, %420, 0,5,309,101,2,32,176,5,1, jpeg_idct_4x4, 4
LLVM-IR-DATA/jidctred.ll, %37, %237, 0,7,341,111,1,32,193,7,1, jpeg_idct_4x4, 8
LLVM-IR-DATA/jidctred.ll, %171, %280, 0,5,181,55,2,32,104,5,1, jpeg_idct_2x2, 2
LLVM-IR-DATA/jidctred.ll, %32, %169, 0,9,238,77,1,32,128,9,1, jpeg_idct_2x2, 8
LLVM-IR-DATA/jfdctflt.ll, %175, %323, 30,3,277,118,1,32,145,3,1, jpeg_fdct_float, 8
LLVM-IR-DATA/jfdctflt.ll, %25, %173, 30,3,277,118,1,32,145,3,1, jpeg_fdct_float, 8
LLVM-IR-DATA/jdcoefct.ll, %112, %128, 0,3,29,8,1,32,13,3,1, jinit_d_coef_controller, 10
LLVM-IR-DATA/jdcoefct.ll, %121, %145, 0,5,40,13,2,32,19,5,2, smoothing_ok, 5
LLVM-IR-DATA/jidctfst.ll, %322, %606, 0,5,489,180,2,32,279,5,1, jpeg_idct_ifast, 8
LLVM-IR-DATA/jidctfst.ll, %46, %320, 0,5,486,191,2,32,269,5,1, jpeg_idct_ifast, 8
LLVM-IR-DATA/jdmaster.ll, %19, %32, 0,3,22,7,1,32,10,3,1, prepare_range_limit_table, 256
LLVM-IR-DATA/jmemmgr.ll, %4, %13, 0,3,18,5,1,32,6,3,1, self_destruct, 2
LLVM-IR-DATA/jidctflt.ll, %305, %532, 38,3,389,135,1,32,224,3,1, jpeg_idct_float, 8
LLVM-IR-DATA/jidctflt.ll, %45, %303, 39,5,468,191,2,32,253,5,1, jpeg_idct_float, 8
LLVM-IR-DATA/jcparam.ll, %16, %30, 0,3,26,8,1,32,11,3,1, fill_dc_scans, 4
LLVM-IR-DATA/jcparam.ll, %14, %42, 0,3,63,23,1,32,25,3,1, fill_scans, 3
LLVM-IR-DATA/tif_dirwrite.ll, %87, %114, 0,5,52,10,3,32,22,5,1, TIFFWriteDirectory, 91
LLVM-IR-DATA/tif_swab.ll, %7, %41, 0,2,65,26,1,32,33,2,1, TIFFSwabArrayOfLong, 2
